,canton,month,language,gender,time_period,avg_sentiment,count
264,Geneva,2,fr,FEMALE,Night,0.48148148148148145,27
265,Appenzell Ausserrhoden,10,en,FEMALE,Night,1.0,1
266,Glarus,1,en,UNKNOWN,Night,0.0,1
267,Fribourg,1,en,FEMALE,Night,0.0,1
268,Appenzell Ausserrhoden,8,en,MALE,Night,1.0,1
269,Vaud,1,fr,UNKNOWN,Night,0.36787564766839376,193
270,Zurich,2,en,MALE,Night,0.10985277463193659,4415
271,Ticino,2,en,FEMALE,Night,0.1056338028169014,284
272,Basel-City,5,en,FEMALE,Night,0.21266968325791855,442
273,Vaud,8,en,FEMALE,Day,0.2260732935902768,21639
274,Schaffhausen,9,en,FEMALE,Night,0.5,2
275,Saint Gallen,8,de,UNKNOWN,Night,0.9245283018867925,53
276,Grisons,8,en,MALE,Day,0.1,60
277,Neuchâtel,5,en,UNKNOWN,Night,0.21212121212121213,33
278,Aargau,5,en,UNKNOWN,Night,0.2692307692307692,26
279,Schwyz,5,en,MALE,Night,0.75,20
280,Basel-City,9,fr,MALE,Day,0.9512195121951219,82
281,Nidwalden,7,en,MALE,Day,0.17647058823529413,17
282,Solothurn,2,de,UNKNOWN,Day,1.0,5
283,Aargau,9,de,FEMALE,Night,1.0,1
284,Valais,1,en,FEMALE,Night,0.013736263736263736,364
285,Geneva,7,en,UNKNOWN,Night,0.12151215121512152,15554
286,Valais,10,en,UNKNOWN,Day,0.12518104696875645,4833
287,Basel-City,1,de,MALE,Night,0.8846153846153846,52
288,Obwalden,8,en,MALE,Day,0.2127659574468085,47
289,Saint Gallen,5,en,UNKNOWN,Night,0.047619047619047616,21
290,Schaffhausen,5,de,MALE,Night,1.0,2
291,Aargau,6,en,FEMALE,Night,0.3333333333333333,3
292,Saint Gallen,9,de,FEMALE,Night,-1.0,1
293,Schaffhausen,2,en,MALE,Night,0.09375,32
294,Bern,5,de,UNKNOWN,Day,0.9135802469135802,162
295,Geneva,8,en,FEMALE,Night,0.14702258726899384,4870
296,Valais,9,en,MALE,Day,0.1706806282722513,955
297,Zurich,6,fr,UNKNOWN,Day,0.9354838709677419,62
298,Saint Gallen,6,en,FEMALE,Night,0.0,4
299,Lucerne,8,en,UNKNOWN,Night,0.23076923076923078,143
300,Bern,5,fr,MALE,Night,0.6666666666666666,6
301,Neuchâtel,2,de,MALE,Night,1.0,2
302,Aargau,2,de,MALE,Night,1.0,5
303,Ticino,1,en,UNKNOWN,Day,-0.002932551319648094,682
304,Bern,2,en,UNKNOWN,Day,0.0776495278069255,1906
305,Vaud,7,en,UNKNOWN,Night,0.1679082392799559,48997
306,Saint Gallen,2,de,MALE,Night,0.864406779661017,59
307,Vaud,4,fr,FEMALE,Night,0.6302521008403361,119
308,Bern,6,de,FEMALE,Day,0.9302325581395349,86
309,Solothurn,8,en,MALE,Night,0.0,18
310,Valais,3,de,UNKNOWN,Day,1.0,11
311,Grisons,4,de,UNKNOWN,Day,1.0,11
312,Zurich,7,fr,FEMALE,Day,1.0,27
313,Neuchâtel,8,en,FEMALE,Night,0.0,2
314,Basel-City,1,fr,FEMALE,Day,1.0,2
315,Neuchâtel,1,fr,UNKNOWN,Day,1.0,2
316,Appenzell Innerrhoden,7,en,MALE,Day,-0.25,4
317,Fribourg,5,de,UNKNOWN,Day,1.0,2
318,Fribourg,2,en,UNKNOWN,Day,0.0797872340425532,188
319,Geneva,3,fr,UNKNOWN,Day,0.863905325443787,338
320,Basel-City,9,de,UNKNOWN,Day,0.925392670157068,1528
321,Jura,4,en,UNKNOWN,Night,0.2631578947368421,38
322,Bern,3,en,FEMALE,Day,0.10080645161290322,248
323,Grisons,1,en,UNKNOWN,Day,0.0,28
324,Grisons,5,de,FEMALE,Day,1.0,2
325,Lucerne,5,de,MALE,Night,1.0,13
326,Jura,10,fr,UNKNOWN,Day,1.0,1
327,Basel-City,6,en,UNKNOWN,Day,0.165140974002197,8193
328,Thurgau,7,en,UNKNOWN,Day,0.2857142857142857,7
329,Basel-City,10,en,MALE,Day,0.21414959504525966,4198
330,Lucerne,2,en,MALE,Night,0.12837837837837837,148
331,Vaud,4,de,MALE,Night,0.8851674641148325,209
332,Valais,5,fr,MALE,Night,0.8484848484848485,66
333,Basel-Landschaft,6,en,MALE,Day,0.5,6
334,Fribourg,3,en,FEMALE,Day,0.42857142857142855,7
335,Geneva,4,fr,FEMALE,Day,0.7522123893805309,113
336,Zurich,7,de,MALE,Day,0.9298245614035088,57
337,Jura,9,fr,MALE,Day,1.0,2
338,Fribourg,7,fr,MALE,Night,1.0,2
339,Grisons,2,en,FEMALE,Day,0.0,1
340,Vaud,1,en,MALE,Night,0.02830587241233629,7101
341,Vaud,3,fr,UNKNOWN,Day,0.7975567190226877,573
342,Zurich,4,en,MALE,Day,0.21609862218999276,8274
343,Ticino,4,en,FEMALE,Day,0.1346153846153846,260
344,Basel-City,7,en,FEMALE,Day,0.21266968325791855,1105
345,Neuchâtel,7,en,UNKNOWN,Day,0.2158273381294964,139
346,Aargau,7,en,UNKNOWN,Day,0.20537897310513448,1636
347,Zurich,10,de,UNKNOWN,Day,0.9235074626865671,1072
348,Zurich,10,fr,MALE,Night,1.0,12
349,Schwyz,7,en,MALE,Day,0.3333333333333333,12
350,Appenzell Innerrhoden,3,de,UNKNOWN,Day,1.0,1
351,Thurgau,8,en,FEMALE,Day,0.8888888888888888,9
352,Basel-City,3,de,MALE,Day,0.9151943462897526,283
353,Valais,3,en,FEMALE,Day,0.26832018038331457,887
354,Saint Gallen,7,en,UNKNOWN,Day,0.11428571428571428,35
355,Geneva,9,en,UNKNOWN,Day,0.14254948879704155,45970
356,Aargau,8,en,FEMALE,Day,0.23076923076923078,13
357,Appenzell Ausserrhoden,1,en,UNKNOWN,Day,0.0,12
358,Solothurn,1,en,UNKNOWN,Night,0.1111111111111111,18
359,Thurgau,4,de,MALE,Day,1.0,2
360,Geneva,1,en,MALE,Day,0.017153996101364522,2565
361,Solothurn,2,en,FEMALE,Night,-0.02857142857142857,35
362,Zurich,8,fr,UNKNOWN,Night,0.9705882352941176,68
363,Saint Gallen,8,en,FEMALE,Day,0.6666666666666666,9
364,Glarus,6,en,FEMALE,Day,0.0,1
365,Thurgau,1,en,MALE,Day,0.0,13
366,Uri,8,de,UNKNOWN,Night,1.0,2
