,canton_code,canton,month,language,gender,time_period,count,sentiment
241,BS,Basel-City,9,German,Male,Day,281,0.8362989323843416
242,BS,Basel-City,6,English,Male,Day,2789,0.13553244890641808
243,BS,Basel-City,8,French,Unknown,Night,5,0.6
244,BS,Basel-City,1,German,Female,Day,69,0.9420289855072465
245,BS,Basel-City,2,French,Male,Night,1,1.0
246,BS,Basel-City,8,English,Male,Night,1840,0.23423913043478264
247,BS,Basel-City,10,English,Female,Night,911,0.2140504939626784
248,BS,Basel-City,2,German,Unknown,Night,637,0.9372056514913658
249,BS,Basel-City,3,German,Female,Night,126,0.9523809523809524
250,BS,Basel-City,4,French,Male,Day,17,0.5294117647058824
251,BS,Basel-City,4,German,Unknown,Day,1440,0.9569444444444444
252,BS,Basel-City,1,English,Unknown,Day,3578,0.0276690888764673
253,BS,Basel-City,5,German,Female,Day,288,0.7777777777777778
254,BS,Basel-City,2,English,Female,Day,644,0.11645962732919254
255,BS,Basel-City,6,French,Male,Night,10,0.0
256,BS,Basel-City,6,German,Unknown,Night,882,0.9138321995464852
257,BS,Basel-City,10,German,Male,Night,128,0.828125
258,BS,Basel-City,3,English,Unknown,Night,3488,0.1654243119266055
259,BS,Basel-City,7,German,Female,Night,8,0.5
260,BS,Basel-City,8,French,Male,Day,52,0.9230769230769232
261,BS,Basel-City,4,English,Female,Night,350,0.24857142857142855
262,BS,Basel-City,10,French,Female,Day,1,1.0
263,BS,Basel-City,8,German,Unknown,Day,1425,0.9171929824561404
264,BS,Basel-City,5,English,Unknown,Day,7495,0.17291527685123415
265,BS,Basel-City,9,German,Female,Day,210,0.8666666666666667
266,BS,Basel-City,6,English,Female,Day,956,0.2207112970711297
267,BS,Basel-City,2,German,Male,Day,253,0.8260869565217391
268,BS,Basel-City,1,French,Unknown,Night,13,0.38461538461538464
269,BS,Basel-City,2,French,Female,Night,1,1.0
270,BS,Basel-City,7,English,Unknown,Night,7318,0.1653457228751025
271,BS,Basel-City,8,English,Female,Night,759,0.25823451910408435
272,BS,Basel-City,4,German,Male,Night,117,0.8803418803418803
273,BS,Basel-City,1,English,Male,Night,924,0.00974025974025974
274,BS,Basel-City,3,French,Unknown,Day,10,1.0
275,BS,Basel-City,9,English,Unknown,Day,14581,0.16939853233660246
276,BS,Basel-City,6,German,Male,Day,241,0.95850622406639
277,BS,Basel-City,3,English,Male,Day,2645,0.1561436672967864
278,BS,Basel-City,5,French,Unknown,Night,7,1.0
279,BS,Basel-City,10,German,Female,Night,128,0.90625
280,BS,Basel-City,8,German,Male,Night,100,0.86
281,BS,Basel-City,5,English,Male,Night,2260,0.12256637168141593
282,BS,Basel-City,7,French,Unknown,Day,3,1.0
283,BS,Basel-City,8,French,Female,Day,2,1.0
284,BE,Bern,6,German,Male,Night,43,0.9069767441860463
285,BE,Bern,3,English,Male,Night,560,0.16785714285714284
286,BE,Bern,10,German,Female,Night,47,0.9574468085106383
287,BE,Bern,7,French,Unknown,Day,1,1.0
288,BE,Bern,8,French,Female,Day,1,1.0
289,BE,Bern,8,German,Male,Day,175,0.9314285714285714
290,BE,Bern,5,English,Male,Day,1063,0.2351834430856068
291,BE,Bern,9,French,Unknown,Night,7,1.0
292,BE,Bern,1,German,Unknown,Day,74,0.8108108108108109
293,BE,Bern,1,French,Male,Night,1,1.0
294,BE,Bern,2,German,Female,Day,55,0.9272727272727272
295,BE,Bern,7,English,Male,Night,685,0.12700729927007298
296,BE,Bern,10,English,Unknown,Night,1799,0.11895497498610337
297,BE,Bern,3,German,Unknown,Night,65,0.9076923076923076
298,BE,Bern,3,French,Male,Day,3,0.3333333333333333
299,BE,Bern,4,German,Female,Night,20,1.0
300,BE,Bern,1,English,Female,Night,110,0.00909090909090909
301,BE,Bern,9,English,Male,Day,1167,0.20394173093401885
302,BE,Bern,5,German,Unknown,Day,162,0.9135802469135802
303,BE,Bern,5,French,Male,Night,6,0.6666666666666666
304,BE,Bern,2,English,Unknown,Day,1906,0.0776495278069255
305,BE,Bern,6,German,Female,Day,86,0.9302325581395348
306,BE,Bern,3,English,Female,Day,248,0.10080645161290322
307,BE,Bern,7,German,Unknown,Night,8,1.0
308,BE,Bern,4,English,Unknown,Night,1333,0.10202550637659416
309,BE,Bern,8,German,Female,Night,20,1.0
310,BE,Bern,10,French,Unknown,Day,5,0.6
311,BE,Bern,5,English,Female,Night,121,0.231404958677686
312,BE,Bern,9,German,Unknown,Day,338,0.8106508875739645
313,BE,Bern,9,French,Male,Night,3,1.0
314,BE,Bern,1,German,Male,Day,49,0.8775510204081632
315,BE,Bern,6,English,Unknown,Day,3384,0.166371158392435
316,BE,Bern,7,English,Female,Day,221,0.2171945701357466
317,BE,Bern,2,French,Unknown,Night,1,1.0
318,BE,Bern,10,English,Male,Night,634,0.16876971608832808
319,BE,Bern,3,French,Female,Night,1,1.0
320,BE,Bern,8,English,Unknown,Night,1809,0.19016030956329466
321,BE,Bern,3,German,Male,Night,56,1.0
322,BE,Bern,9,English,Female,Night,206,0.15048543689320387
323,BE,Bern,4,French,Unknown,Day,5,1.0
324,BE,Bern,5,French,Female,Day,1,1.0
325,BE,Bern,5,German,Male,Day,134,0.9253731343283582
326,BE,Bern,2,English,Male,Day,704,0.1690340909090909
327,BE,Bern,7,German,Male,Night,2,1.0
328,BE,Bern,4,English,Male,Night,504,0.19444444444444445
329,BE,Bern,10,German,Unknown,Night,78,0.9230769230769232
330,BE,Bern,10,French,Male,Day,5,1.0
331,BE,Bern,8,French,Unknown,Day,1,1.0
332,BE,Bern,9,French,Female,Day,1,1.0
333,BE,Bern,1,German,Female,Night,15,0.8666666666666667
334,BE,Bern,9,German,Male,Day,182,0.934065934065934
335,BE,Bern,6,English,Male,Day,1083,0.2714681440443213
336,BE,Bern,10,English,Female,Day,213,0.15023474178403756
337,BE,Bern,2,German,Unknown,Day,140,0.8857142857142857
338,BE,Bern,3,German,Female,Day,89,1.0
339,BE,Bern,8,English,Male,Night,516,0.14534883720930233
340,BE,Bern,4,German,Unknown,Night,57,0.8596491228070176
341,BE,Bern,4,French,Male,Day,3,1.0
342,BE,Bern,1,English,Unknown,Night,918,0.006535947712418301
343,BE,Bern,5,German,Female,Night,24,0.9166666666666666
344,BE,Bern,2,English,Female,Night,147,0.1564625850340136
345,BE,Bern,6,German,Unknown,Day,122,0.8852459016393442
346,BE,Bern,3,English,Unknown,Day,2447,0.1438496117695137
347,BE,Bern,7,German,Female,Day,11,0.8181818181818182
348,BE,Bern,4,English,Female,Day,285,0.1087719298245614
349,BE,Bern,10,German,Male,Night,57,0.9649122807017544
350,BE,Bern,8,German,Unknown,Night,81,0.8518518518518519
351,BE,Bern,8,French,Male,Day,9,1.0
352,BE,Bern,5,English,Unknown,Night,1782,0.08922558922558922
353,BE,Bern,9,German,Female,Night,38,0.8947368421052632
354,BE,Bern,6,English,Female,Night,160,0.1875
355,BE,Bern,1,French,Unknown,Day,1,1.0
356,BE,Bern,2,French,Female,Day,2,1.0
357,BE,Bern,7,English,Unknown,Day,2700,0.16925925925925925
358,BE,Bern,2,German,Male,Day,90,0.9111111111111112
